   ,margin,symbol    ,instrument_token
0  ,3.0   ,3MINDIA   ,121345
1  ,3.0   ,AARTIIND  ,1793
2  ,3.0   ,ABAN      ,2561
3  ,3.0   ,ABB       ,3329
4  ,3.0   ,ABFRL     ,7707649
5  ,14.0  ,ACC       ,5633
6  ,3.0   ,ADANIENT  ,6401
7  ,3.0   ,ADANIPORTS,3861249
8  ,5.0   ,ADANIPOWER,4451329
9  ,8.0   ,AJANTPHARM,2079745
10 ,3.0   ,AKZOINDIA ,375553
11 ,5.0   ,ALBK      ,2760193
12 ,3.0   ,ALKEM     ,2995969
13 ,3.0   ,ALLCARGO  ,3456257
14 ,14.0  ,AMARAJABAT,25601
15 ,14.0  ,AMBUJACEM ,325121
16 ,5.0   ,ANDHRABANK,2524673
17 ,3.0   ,APLLTD    ,6483969
18 ,14.0  ,APOLLOHOSP,40193
19 ,14.0  ,APOLLOTYRE,41729
20 ,14.0  ,ARVIND    ,49409
21 ,3.0   ,ASAHIINDIA,1376769
22 ,14.0  ,ASHOKLEY  ,54273
23 ,14.0  ,ASIANPAINT,60417
24 ,3.0   ,ASTRAZEN  ,1436161
25 ,3.0   ,ATFL      ,425729
26 ,3.0   ,ATUL      ,67329
27 ,3.0   ,AUBANK    ,5436929
28 ,7.0   ,AUROPHARMA,70401
29 ,3.0   ,AUTOAXLES ,71169
30 ,14.0  ,AXISBANK  ,1510401
31 ,14.0  ,BAJAJ-AUTO,4267265
32 ,3.0   ,BAJAJCORP ,4999937
33 ,3.0   ,BAJAJELEC ,3848705
34 ,3.0   ,BAJAJFINSV,4268801
35 ,3.0   ,BAJAJHIND ,78849
36 ,3.0   ,BAJAJHLDNG,78081
37 ,7.0   ,BAJFINANCE,81153
38 ,3.0   ,BALKRISIND,85761
39 ,3.0   ,BALRAMCHIN,87297
40 ,3.0   ,BANCOINDIA,3553281
41 ,14.0  ,BANKBARODA,1195009
42 ,10.0  ,BANKBEES  ,2928385
43 ,7.0   ,BANKINDIA ,1214721
44 ,14.0  ,BATAINDIA ,94977
45 ,9.0   ,BEL       ,98049
46 ,9.0   ,BEML      ,101121
47 ,3.0   ,BERGEPAINT,103425
48 ,3.0   ,BGRENERGY ,3888385
49 ,8.0   ,BHARATFIN ,4995329
50 ,14.0  ,BHARATFORG,108033
51 ,14.0  ,BHARTIARTL,2714625
52 ,11.0  ,BHEL      ,112129
53 ,9.0   ,BIOCON    ,2911489
54 ,3.0   ,BLUEDART  ,126721
55 ,14.0  ,BOSCHLTD  ,558337
56 ,14.0  ,BPCL      ,134657
57 ,11.0  ,BRITANNIA ,140033
58 ,3.0   ,BRNL      ,5550849
59 ,3.0   ,BSE       ,5013761
60 ,9.0   ,CADILAHC  ,2029825
61 ,14.0  ,CANBK     ,2763265
62 ,3.0   ,CANFINHOME,149249
63 ,3.0   ,CAPACITE  ,5567745
64 ,3.0   ,CAPF      ,3903745
65 ,14.0  ,CASTROLIND,320001
66 ,3.0   ,CDSL      ,5420545
67 ,14.0  ,CEATLTD   ,3905025
68 ,3.0   ,CENTRALBK ,3812865
69 ,3.0   ,CENTURYPLY,3406081
70 ,8.0   ,CENTURYTEX,160001
71 ,9.0   ,CESC      ,160769
72 ,8.0   ,CGPOWER   ,194561
73 ,3.0   ,CHENNPETRO,524545
74 ,3.0   ,CHOLAFIN  ,175361
75 ,14.0  ,CIPLA     ,177665
76 ,14.0  ,COALINDIA ,5215745
77 ,3.0   ,COCHINSHIP,5506049
78 ,14.0  ,COLPAL    ,3876097
79 ,9.0   ,CONCOR    ,1215745
80 ,3.0   ,COROMANDEL,189185
81 ,3.0   ,COX&KINGS ,4558337
82 ,3.0   ,CRISIL    ,193793
83 ,3.0   ,CROMPTON  ,4376065
84 ,3.0   ,CUB       ,1459457
85 ,3.0   ,CUMMINSIND,486657
86 ,3.0   ,CYIENT    ,1471489
87 ,14.0  ,DABUR     ,197633
88 ,3.0   ,DALMIABHA ,5444865
89 ,3.0   ,DBCORP    ,4577537
90 ,14.0  ,DCBBANK   ,3513601
91 ,3.0   ,DCMSHRIRAM,207617
92 ,7.0   ,DHFL      ,215553
93 ,3.0   ,DIAMONDYD ,5591041
94 ,9.0   ,DISHTV    ,3721473
95 ,7.0   ,DIVISLAB  ,2800641
96 ,3.0   ,DIXON     ,5552641
97 ,7.0   ,DLF       ,3771393
98 ,3.0   ,DMART     ,5097729
99 ,7.0   ,DRREDDY   ,225537
100,3.0   ,ECLERX    ,3885825
101,3.0   ,EDELWEISS ,3870465
102,11.0  ,EICHERMOT ,232961
103,3.0   ,EIDPARRY  ,234497
104,3.0   ,EMAMILTD  ,3460353
105,3.0   ,ENDURANCE ,4818433
106,11.0  ,ENGINERSIN,1256193
107,3.0   ,EQUITAS   ,4314113
108,3.0   ,ERIS      ,5415425
109,3.0   ,ESCORTS   ,245249
110,3.0   ,EVEREADY  ,3016193
111,11.0  ,EXIDEIND  ,173057
112,14.0  ,FEDERALBNK,261889
113,3.0   ,FEL       ,2692097
114,3.0   ,FINCABLES ,265729
115,3.0   ,FORTIS    ,3735553
116,3.0   ,FRETAIL   ,4704769
117,14.0  ,GAIL      ,1207553
118,3.0   ,GANECOS   ,1777665
119,3.0   ,GDL       ,3004161
120,3.0   ,GEPIL     ,2012673
121,3.0   ,GESHIP    ,3526657
122,3.0   ,GICHSGFIN ,291585
123,3.0   ,GICRE     ,70913
124,3.0   ,GILLETTE  ,403457
125,3.0   ,GLAXO     ,295169
126,11.0  ,GLENMARK  ,1895937
127,5.0   ,GMRINFRA  ,3463169
128,3.0   ,GNA       ,4754177
129,3.0   ,GNFC      ,300545
130,3.0   ,GODREJCP  ,2585345
131,7.0   ,GODREJIND ,2796801
132,3.0   ,GODREJPROP,4576001
133,10.0  ,GOLDBEES  ,3693569
134,3.0   ,GPPL      ,5051137
135,10.0  ,GRANULES  ,3039233
136,11.0  ,GRASIM    ,315393
137,3.0   ,GREAVESCOT,316161
138,3.0   ,GRUH      ,2957569
139,3.0   ,GSFC      ,319233
140,3.0   ,GSKCONS   ,821761
141,3.0   ,GSPL      ,3378433
142,3.0   ,GTPL      ,5425921
143,3.0   ,GUJALKALI ,324353
144,3.0   ,GUJFLUORO ,329985
145,3.0   ,GUJGASLTD ,2713345
146,9.0   ,HAVELLS   ,2513665
147,3.0   ,HCC       ,352001
148,9.0   ,HCLTECH   ,1850625
149,14.0  ,HDFC      ,340481
150,14.0  ,HDFCBANK  ,341249
151,3.0   ,HDIL      ,3789569
152,3.0   ,HEIDELBERG,592897
153,14.0  ,HEROMOTOCO,345089
154,11.0  ,HEXAWARE  ,2747905
155,3.0   ,HGS       ,3766273
156,3.0   ,HIKAL     ,2475009
157,11.0  ,HINDALCO  ,348929
158,11.0  ,HINDPETRO ,359937
159,14.0  ,HINDUNILVR,356865
160,11.0  ,HINDZINC  ,364545
161,3.0   ,HONAUT    ,874753
162,3.0   ,HSIL      ,361473
163,3.0   ,HUDCO     ,5331201
164,3.0   ,IBREALEST ,3699201
165,9.0   ,IBULHSGFIN,7712001
166,14.0  ,ICICIBANK ,1270529
167,3.0   ,ICICIGI   ,5573121
168,3.0   ,ICICIPRULI,4774913
169,13.0  ,ICIL      ,3068673
170,5.0   ,IDBI      ,377857
171,7.0   ,IDEA      ,3677697
172,5.0   ,IDFC      ,3060993
173,5.0   ,IDFCBANK  ,2863105
174,3.0   ,IEX       ,56321
175,5.0   ,IFCI      ,381697
176,14.0  ,IGL       ,2883073
177,3.0   ,IGPL      ,3606017
178,3.0   ,IIFL      ,3023105
179,3.0   ,IL&FSTRANS,4696321
180,3.0   ,INDHOTEL  ,387073
181,11.0  ,INDIACEM  ,387841
182,3.0   ,INDIANB   ,3663105
183,3.0   ,INDIGO    ,2865921
184,14.0  ,INDUSINDBK,1346049
185,3.0   ,INFIBEAM  ,4159745
186,9.0   ,INFRATEL  ,7458561
187,9.0   ,INFY      ,408065
188,3.0   ,INOXLEISUR,3384577
189,3.0   ,INOXWIND  ,2010113
190,3.0   ,INTELLECT ,1517057
191,3.0   ,IOB       ,2393089
192,14.0  ,IOC       ,415745
193,3.0   ,IPCALAB   ,418049
194,9.0   ,IRB       ,3920129
195,14.0  ,ITC       ,424961
196,3.0   ,JAGRAN    ,3382017
197,3.0   ,JAMNAAUTO ,5319169
198,3.0   ,JETAIRWAYS,2997505
199,8.0   ,JINDALSTEL,1723649
200,11.0  ,JISLJALEQS,2661633
201,3.0   ,JKCEMENT  ,3397121
202,3.0   ,JKPAPER   ,3036161
203,3.0   ,JKTYRE    ,3695361
204,3.0   ,JPASSOCIAT,2933761
205,3.0   ,JSL       ,2876417
206,3.0   ,JSLHISAR  ,3149825
207,5.0   ,JSWENERGY ,4574465
208,14.0  ,JSWSTEEL  ,3001089
209,3.0   ,JUBILANT  ,931073
210,11.0  ,JUBLFOOD  ,4632577
211,3.0   ,JUSTDIAL  ,7670273
212,3.0   ,KAJARIACER,462849
213,3.0   ,KALPATPOWR,464385
214,3.0   ,KANSAINER ,306177
215,3.0   ,KARURVYSYA,470529
216,3.0   ,KEC       ,3394561
217,3.0   ,KEI       ,3407361
218,3.0   ,KESORAMIND,475905
219,3.0   ,KHADIM    ,108801
220,3.0   ,KIRLOSENG ,5359617
221,14.0  ,KOTAKBANK ,492033
222,3.0   ,KOTAKNIFTY,4634113
223,8.0   ,KPIT      ,1790465
224,3.0   ,KRBL      ,2707713
225,13.0  ,KSCL      ,3832833
226,14.0  ,KTKBANK   ,2061825
227,11.0  ,L&TFH     ,6386689
228,3.0   ,LALPATHLAB,2983425
229,3.0   ,LEEL      ,1213441
230,3.0   ,LGBBROSLTD,4690177
231,11.0  ,LICHSGFIN ,511233
232,3.0   ,LINDEINDIA,416513
233,10.0  ,LIQUIDBEES,2817537
234,3.0   ,LOVABLE   ,5738241
235,14.0  ,LT        ,2939649
236,11.0  ,LUPIN     ,2672641
237,14.0  ,M&M       ,519937
238,11.0  ,M&MFIN    ,3400961
239,3.0   ,M100      ,5484289
240,3.0   ,M50       ,4937985
241,3.0   ,MAGMA     ,2919169
242,3.0   ,MAHINDCIE ,3823873
243,3.0   ,MAHLOG    ,98561
244,3.0   ,MAJESCO   ,2639361
245,3.0   ,MANAPPURAM,4879617
246,3.0   ,MANINFRA  ,4665857
247,11.0  ,MARICO    ,1041153
248,3.0   ,MARKSANS  ,2708225
249,14.0  ,MARUTI    ,2815745
250,3.0   ,MASFIN    ,50945
251,3.0   ,MATRIMONY ,5561857
252,11.0  ,MCDOWELL-N,2674433
253,11.0  ,MCLEODRUSS,3057409
254,3.0   ,MCX       ,7982337
255,3.0   ,MEGH      ,3776001
256,3.0   ,MERCATOR  ,3040257
257,3.0   ,MFSL      ,548353
258,3.0   ,MGL       ,4488705
259,3.0   ,MINDAIND  ,3623425
260,9.0   ,MINDTREE  ,3675137
261,3.0   ,MOIL      ,5332481
262,3.0   ,MOLDTKPAC ,1718529
263,11.0  ,MOTHERSUMI,1076225
264,3.0   ,MPHASIS   ,1152769
265,11.0  ,MRF       ,582913
266,3.0   ,MRPL      ,584449
267,3.0   ,MUKANDLTD ,2899201
268,3.0   ,MUTHOOTFIN,6054401
269,3.0   ,NATIONALUM,1629185
270,3.0   ,NAUKRI    ,3520257
271,3.0   ,NBCC      ,8042241
272,11.0  ,NCC       ,593665
273,3.0   ,NESTLEIND ,4598529
274,3.0   ,NETWORK18 ,3612417
275,3.0   ,NFL       ,3564801
276,3.0   ,NH        ,3031041
277,5.0   ,NHPC      ,4454401
278,3.0   ,NIACL     ,102145
279,3.0   ,NIITLTD   ,2949633
280,9.0   ,NIITTECH  ,2955009
281,3.0   ,NLCINDIA  ,2197761
282,11.0  ,NMDC      ,3924993
283,3.0   ,NOCIL     ,625153
284,3.0   ,NRBBEARING,1933569
285,11.0  ,NTPC      ,2977281
286,3.0   ,OBEROIRLTY,5181953
287,8.0   ,OFSS      ,2748929
288,14.0  ,OIL       ,4464129
289,3.0   ,OMAXE     ,3802369
290,14.0  ,ONGC      ,633601
291,7.0   ,ORIENTBANK,636673
292,3.0   ,ORIENTCEM ,7702785
293,9.0   ,PAGEIND   ,3689729
294,3.0   ,PARAGMILK ,4385281
295,3.0   ,PCJEWELLER,7455745
296,3.0   ,PEL       ,617473
297,3.0   ,PERSISTENT,4701441
298,14.0  ,PETRONET  ,2905857
299,9.0   ,PFC       ,3660545
300,3.0   ,PFIZER    ,676609
301,3.0   ,PGHH      ,648961
302,3.0   ,PHOENIXLTD,3725313
303,11.0  ,PIDILITIND,681985
304,3.0   ,PIIND     ,6191105
305,5.0   ,PNB       ,2730497
306,3.0   ,PNBHOUSING,4840449
307,3.0   ,POLYPLEX  ,687873
308,14.0  ,POWERGRID ,3834113
309,3.0   ,PRESTIGE  ,5197313
310,11.0  ,PTC       ,2906881
311,3.0   ,PVR       ,3365633
312,3.0   ,QUICKHEAL ,3357697
313,3.0   ,RADIOCITY ,5088513
314,3.0   ,RAJESHEXPO,1894657
315,3.0   ,RALLIS    ,720897
316,3.0   ,RAMCOCEM  ,523009
317,3.0   ,RAMCOIND  ,1174273
318,5.0   ,RAYMOND   ,731905
319,3.0   ,RBLBANK   ,4708097
320,3.0   ,RCF       ,733697
321,3.0   ,RCOM      ,3375873
322,11.0  ,RECLTD    ,3930881
323,3.0   ,RELAXO    ,6201601
324,9.0   ,RELCAPITAL,737793
325,14.0  ,RELIANCE  ,738561
326,9.0   ,RELINFRA  ,141569
327,3.0   ,REPCOHOME ,7577089
328,3.0   ,RICOAUTO  ,744705
329,3.0   ,RKFORGE   ,2921217
330,3.0   ,RNAM      ,91393
331,3.0   ,RNAVAL    ,4465665
332,3.0   ,ROLTA     ,747009
333,5.0   ,RPOWER    ,3906305
334,3.0   ,SADBHAV   ,3388417
335,5.0   ,SAIL      ,758529
336,3.0   ,SALASAR   ,5468673
337,3.0   ,SANGHIIND ,767233
338,3.0   ,SANOFI    ,369153
339,3.0   ,SAREGAMA  ,1252353
340,3.0   ,SBILIFE   ,5582849
341,14.0  ,SBIN      ,779521
342,3.0   ,SCHAND    ,5298689
343,3.0   ,SCI       ,780289
344,3.0   ,SHANKARA  ,5202177
345,3.0   ,SHARDAMOTR,2695681
346,3.0   ,SHRIRAMCIT,3005185
347,3.0   ,SICAL     ,1630209
348,9.0   ,SIEMENS   ,806401
349,3.0   ,SINTEX    ,1492737
350,3.0   ,SIS       ,5504257
351,3.0   ,SJVN      ,4834049
352,3.0   ,SKFINDIA  ,815617
353,3.0   ,SNOWMAN   ,1239809
354,3.0   ,SOBHA     ,3539457
355,3.0   ,SOLARINDS ,3412993
356,5.0   ,SOUTHBANK ,1522689
357,3.0   ,SPARC     ,3785729
358,3.0   ,SPTL      ,5494273
359,3.0   ,SREINFRA  ,836353
360,11.0  ,SRF       ,837889
361,11.0  ,SRTRANSFIN,1102337
362,14.0  ,STAR      ,1887745
363,3.0   ,SUNDARMFIN,854785
364,3.0   ,SUNDRMFAST,856321
365,7.0   ,SUNPHARMA ,857857
366,3.0   ,SUNTECK   ,4516097
367,3.0   ,SUNTV     ,3431425
368,3.0   ,SUPREMEIND,860929
369,3.0   ,SUZLON    ,3076609
370,3.0   ,SYMPHONY  ,6192641
371,5.0   ,SYNDIBANK ,1837825
372,3.0   ,SYNGENE   ,2622209
373,11.0  ,TATACHEM  ,871681
374,3.0   ,TATACOFFEE,185345
375,9.0   ,TATACOMM  ,952577
376,9.0   ,TATAELXSI ,873217
377,9.0   ,TATAGLOBAL,878593
378,3.0   ,TATAINVEST,414977
379,11.0  ,TATAMOTORS,884737
380,11.0  ,TATAMTRDVR,4343041
381,9.0   ,TATAPOWER ,877057
382,3.0   ,TATASPONGE,419585
383,14.0  ,TATASTEEL ,895745
384,3.0   ,TBZ       ,6921473
385,3.0   ,TCI       ,2708481
386,9.0   ,TCS       ,2953217
387,9.0   ,TECHM     ,3465729
388,3.0   ,TEJASNET  ,5409537
389,3.0   ,THERMAX   ,889601
390,3.0   ,THOMASCOOK,891137
391,3.0   ,THYROCARE ,4360193
392,3.0   ,TIFIN     ,5565441
393,3.0   ,TIRUMALCHM,894977
394,11.0  ,TITAN     ,897537
395,3.0   ,TNPETRO   ,898305
396,3.0   ,TNPL      ,1018881
397,7.0   ,TORNTPHARM,900609
398,8.0   ,TORNTPOWER,3529217
399,3.0   ,TRENT     ,502785
400,3.0   ,TRIDENT   ,2479361
401,3.0   ,TTKPRESTIG,907777
402,5.0   ,TV18BRDCST,3637249
403,11.0  ,TVSMOTOR  ,2170625
404,3.0   ,TWL       ,3945985
405,11.0  ,UBL       ,4278529
406,3.0   ,UCOBANK   ,2873089
407,3.0   ,UJJIVAN   ,4369665
408,11.0  ,ULTRACEMCO,2952193
409,13.0  ,UNIONBANK ,2752769
410,11.0  ,UPL       ,2889473
411,11.0  ,VEDL      ,784129
412,3.0   ,VGUARD    ,3932673
413,3.0   ,VIJAYABANK,2426625
414,9.0   ,VOLTAS    ,951809
415,3.0   ,VTL       ,530689
416,3.0   ,WABCOINDIA,4330241
417,3.0   ,WELENT    ,2976257
418,3.0   ,WHIRLPOOL ,4610817
419,9.0   ,WIPRO     ,969473
420,7.0   ,WOCKPHARMA,1921537
421,3.0   ,WONDERLA  ,768513
422,14.0  ,YESBANK   ,3050241
423,11.0  ,ZEEL      ,975873
