,instrument_token,long,margin,mean_price,quantity,short,symbol
0,173057,False,11,279.3365,197,True,EXIDEIND
1,261889,False,14,78.672,890,True,FEDERALBNK
2,315393,False,11,1041.768,53,True,GRASIM
3,25601,False,14,828.3801666666667,85,True,AMARAJABAT
4,2513665,False,9,685.0346666666667,66,True,HAVELLS
5,1850625,True,9,1063.9118333333333,42,False,HCLTECH
6,340481,False,14,1932.2789166666666,36,True,HDFC
7,325121,False,14,230.93616666666668,303,True,AMBUJACEM
8,2747905,True,11,440.23991666666666,125,False,HEXAWARE
9,356865,False,14,1676.6340833333334,42,True,HINDUNILVR
10,7712001,False,9,1229.9019166666667,37,True,IBULHSGFIN
11,3068673,False,13,77.50558333333333,839,True,ICIL
12,3677697,False,7,48.67658333333333,719,True,IDEA
13,415745,False,14,153.47116666666668,456,True,IOC
14,3920129,False,9,182.18066666666667,247,True,IRB
15,4632577,False,11,1467.0999166666666,37,True,JUBLFOOD
16,492033,False,14,1256.9464166666667,56,True,KOTAKBANK
17,6386689,False,11,172.7615,318,True,L&TFH
18,60417,False,14,1337.1289166666666,52,True,ASIANPAINT
19,511233,False,11,508.0319166666667,108,True,LICHSGFIN
20,3400961,False,11,466.3496666666667,118,True,M&MFIN
21,1041153,False,11,359.28658333333334,153,True,MARICO
22,2815745,False,14,8923.337,8,True,MARUTI
23,2674433,False,11,614.0011666666667,90,True,MCDOWELL-N
24,3675137,True,9,1124.4415,40,False,MINDTREE
25,1076225,False,11,298.9,184,True,MOTHERSUMI
26,582913,False,11,71963.94216666666,1,True,MRF
27,2748929,True,8,4118.859666666666,10,False,OFSS
28,4464129,False,14,209.24133333333333,335,True,OIL
29,633601,False,14,175.069,400,True,ONGC
30,3689729,False,9,33622.03683333333,1,True,PAGEIND
31,779521,False,14,300.11566666666664,233,True,SBIN
32,806401,False,9,992.8400833333334,45,True,SIEMENS
33,837889,False,11,1992.6416666666667,28,True,SRF
34,1102337,False,11,1280.3829166666667,43,True,SRTRANSFIN
35,81153,False,7,2768.227,13,True,BAJFINANCE
36,2953217,True,9,2080.17125,22,False,TCS
37,2170625,True,11,570.84225,96,False,TVSMOTOR
38,4278529,False,11,1354.1445833333332,41,True,UBL
39,951809,False,9,602.6990833333333,75,True,VOLTAS
40,969473,True,9,314.6625,143,False,WIPRO
41,2928385,False,10,2815.1687833333335,18,True,BANKBEES
42,975873,False,11,485.36375,113,True,ZEEL
43,94977,False,14,1057.7855,66,True,BATAINDIA
44,98049,False,9,103.13616666666667,436,True,BEL
45,101121,False,9,801.5679166666666,56,True,BEML
46,5633,False,14,1592.12575,44,True,ACC
47,134657,False,14,355.75016666666664,197,True,BPCL
48,140033,False,11,6403.351833333333,9,True,BRITANNIA
49,320001,False,14,156.31,448,True,CASTROLIND
50,160769,False,9,1003.1459166666667,45,True,CESC
51,194561,False,8,57.0145,702,True,CGPOWER
52,197633,False,14,463.44708333333335,151,True,DABUR
53,215553,False,7,654.4870833333333,53,True,DHFL
